car_name,Kms_driven,fuel_type,Transmission,Ownership,Manufacture,Engine_cc,Seats,car_prices_in_rupee,Price_in_rupees
Maruti Zen Estilo 1.1 LXI BSIII,80000,Petrol,Manual,2,2007,1120,5,1.20 Lakh,120000
Chevrolet Spark 1.0 LT Option Pack,50000,Petrol,Manual,2,2012,2179,7,1.30 Lakh,130000
Hyundai Grand i10 1.2 Kappa Sportz Option,15000,Petrol,Manual,1,2019,993,5,6 Lakh,600000
Hyundai EON 1.0 Era Plus,52552,Petrol,Manual,1,2014,1497,5,2.95 Lakh,295000
Hyundai Grand i10 CRDi Asta,63565,Diesel,Manual,1,2015,1598,5,5.60 Lakh,560000
Mahindra Scorpio S10 7 Seater,154659,Diesel,Manual,1,2015,1956,5,11.20 Lakh,1120000
Maruti Zen LXI,110000,Petrol,Manual,2,2002,1591,5,"75,000",75000
Mahindra XUV300 W6 Diesel,27850,Diesel,Manual,1,2020,1197,5,10.50 Lakh,1050000
Skoda Rapid 1.6 MPI Style BSIV,50000,Petrol,Manual,1,2018,2523,7,8.80 Lakh,880000
Jeep Compass 2.0 Limited Option 4X4,37000,Diesel,Manual,1,2017,1591,5,16.90 Lakh,1690000
Hyundai Verna 1.6 SX VTVT,96384,Petrol,Manual,1,2011,1497,7,4.30 Lakh,430000
Hyundai i20 1.2 Sportz,66070,Petrol,Manual,1,2011,1497,5,3.90 Lakh,390000
Mahindra Bolero ZLX,77500,Diesel,Manual,1,2013,998,5,5 Lakh,500000
Hyundai Verna VTVT 1.6 SX,76504,Petrol,Manual,1,2017,814,5,8.30 Lakh,830000
Honda Mobilio V i-VTEC,75763,Petrol,Manual,1,2014,1197,5,6.15 Lakh,615000
Honda City E,58028,Petrol,Manual,1,2012,1498,5,5.15 Lakh,515000
Maruti Wagon R VXI,96909,Petrol,Manual,1,2015,998,5,4.30 Lakh,430000
Hyundai EON Magna Plus Option,49229,Petrol,Manual,1,2017,1197,5,3.80 Lakh,380000
Maruti Swift VVT VXI,82113,Petrol,Manual,1,2014,1186,5,4.90 Lakh,490000
Maruti Ciaz Delta 1.5,50140,Diesel,Manual,1,2019,1498,5,8.04 Lakh,804000
Maruti Wagon R VXI BS IV,89034,Petrol,Manual,1,2014,998,5,3.10 Lakh,310000
Hyundai Grand i10 Asta,141692,Petrol,Manual,1,2014,999,5,3.62 Lakh,362000
Hyundai Grand i10 1.2 CRDi Era,90000,Diesel,Manual,1,2017,2494,7,4.75 Lakh,475000
Honda WR-V i-DTEC VX,76407,Diesel,Manual,2,2018,999,5,8.32 Lakh,832000
Maruti Wagon R LXI CNG,103535,Cng,Manual,1,2012,1248,5,2.45 Lakh,245000
Nissan Magnite XV,10048,Petrol,Manual,1,2021,1248,5,8.31 Lakh,831000
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,193707,Diesel,Manual,1,2013,2755,7,7.84 Lakh,784000
Renault KWID 1.0 RXT Optional AT 2016-2019,20987,Petrol,Automatic,1,2018,998,5,3.18 Lakh,318000
Maruti Baleno Delta Diesel,77000,Diesel,Manual,1,2018,1497,5,6.90 Lakh,690000
Maruti Swift Dzire ZDI,88000,Diesel,Manual,1,2017,796,5,7.80 Lakh,780000
Toyota Innova Crysta 2.8 ZX AT BSIV,119000,Diesel,Automatic,1,2016,1086,5,17.70 Lakh,1770000
Maruti Alto K10 2010-2014 VXI,56000,Petrol,Manual,1,2013,1598,5,2.80 Lakh,280000
Honda City GXi,86000,Petrol,Manual,1,2006,998,5,2.20 Lakh,220000
Maruti Alto 800 LXI,68000,Petrol,Manual,1,2014,1248,5,2.60 Lakh,260000
Hyundai Santro Xing GLS LPG,76000,Lpg,Manual,1,2014,1197,5,2.80 Lakh,280000
Skoda Rapid 1.6 MPI AT Style,70354,Petrol,Automatic,2,2016,1248,5,5.05 Lakh,505000
Maruti Wagon R VXI,117000,Petrol,Manual,1,2009,1493,5,2.10 Lakh,210000
Maruti Vitara Brezza ZDi,65000,Diesel,Manual,1,2019,1493,5,9.80 Lakh,980000
Hyundai Xcent 1.2 Kappa SX Option,46865,Petrol,Manual,1,2017,1196,5,5.49 Lakh,549000
Maruti Swift Dzire ZDI,77932,Diesel,Manual,2,2015,1495,5,5.42 Lakh,542000
Hyundai Verna Transform SX VGT CRDi,118215,Diesel,Manual,1,2010,998,5,2.56 Lakh,256000
Kia Seltos HTX Plus D,45873,Diesel,Manual,1,2020,1498,5,16.31 Lakh,1631000
Maruti Eeco 5 Seater AC BSIV,115596,Petrol,Manual,1,2014,1198,5,2.56 Lakh,256000
Hyundai Accent GLE,69218,Petrol,Manual,1,2007,1197,5,1.31 Lakh,131000
Hyundai Venue SX Plus Turbo DCT,26192,Petrol,Automatic,1,2020,1086,5,11.91 Lakh,1191000
Ford Ecosport 1.5 DV5 MT Ambiente,90992,Diesel,Manual,2,2014,1498,5,4.84 Lakh,484000
Volkswagen Polo 1.2 MPI Highline,42322,Petrol,Manual,2,2014,1061,5,4.25 Lakh,425000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,20064,Petrol,Manual,1,2019,1086,5,5.81 Lakh,581000
Hyundai i10 Magna LPG,37418,Lpg,Manual,1,2013,1497,5,2.81 Lakh,281000
Ford Ecosport 1.5 Diesel Titanium BSIV,86102,Diesel,Manual,1,2017,796,5,7.16 Lakh,716000
Maruti Wagon R LXI Minor Duo LPG,105192,Lpg,Manual,3,2008,1999,5,1.10 Lakh,110000
Hyundai i10 Sportz 1.1L,46895,Petrol,Manual,2,2014,1199,5,3.34 Lakh,334000
Honda City 1.5 S MT,94135,Petrol,Manual,2,2009,1462,5,2.90 Lakh,290000
Maruti Alto LXi BSIII,84278,Petrol,Manual,2,2008,1498,5,"94,058",94058
Land Rover Range Rover Evoque 2.0 S diesel 2020-2021,19150,Diesel,Automatic,1,2020,1396,5,50.52 Lakh,5052000
Honda Amaze VX Petrol,22803,Petrol,Manual,1,2021,1197,5,7.88 Lakh,788000
Maruti Vitara Brezza ZXI Plus,35864,Petrol,Manual,2,2020,1497,5,9.41 Lakh,941000
Skoda Rapid 1.5 TDI Ambition,48007,Diesel,Manual,2,2015,1248,7,5.85 Lakh,585000
Hyundai i20 Asta 1.4 CRDi,98057,Diesel,Manual,2,2016,1197,5,5.96 Lakh,596000
Maruti Swift VXI,17222,Petrol,Manual,1,2018,1248,5,5.30 Lakh,530000
Honda City S,77960,Petrol,Manual,2,2012,1086,5,4.01 Lakh,401000
Maruti Ertiga VDI,105812,Diesel,Manual,3,2015,998,5,5.66 Lakh,566000
Hyundai Grand i10 1.2 Kappa Sportz Option,47180,Petrol,Manual,1,2017,814,5,5.02 Lakh,502000
Maruti Swift VDI BSIV,91865,Diesel,Manual,2,2010,1995,5,2.50 Lakh,250000
Hyundai Santro Xing GLS,121761,Petrol,Manual,1,2008,1248,5,1.21 Lakh,121000
Maruti Celerio ZXI AT,44540,Petrol,Automatic,1,2015,1461,8,3.93 Lakh,393000
Hyundai EON Era Plus,27713,Petrol,Manual,1,2018,1193,5,3.38 Lakh,338000
BMW X1 sDrive20d,83354,Diesel,Automatic,2,2013,1798,5,13.45 Lakh,1345000
Maruti Vitara Brezza LDi Option,118587,Diesel,Manual,1,2017,1197,5,6.30 Lakh,630000
Renault Lodgy 110PS RxZ 8 Seater,72318,Diesel,Manual,1,2016,1248,5,6.12 Lakh,612000
Tata Indigo eGLX BS IV,88579,Petrol,Manual,1,2010,1248,5,1.50 Lakh,150000
Toyota Corolla Altis VL AT,69509,Petrol,Automatic,2,2016,2982,7,11.43 Lakh,1143000
Volkswagen Vento 1.2 TSI Highline AT,68012,Petrol,Automatic,2,2017,999,5,7.37 Lakh,737000
Maruti Swift Dzire ZDI Plus,71250,Diesel,Manual,1,2017,1197,5,7.75 Lakh,775000
Maruti Swift Dzire AMT VDI,76268,Diesel,Automatic,2,2017,1197,5,6.46 Lakh,646000
Toyota Fortuner 3.0 Diesel,118649,Diesel,Manual,1,2011,1086,5,10.52 Lakh,1052000
Volkswagen Polo GT 1.0 TSI,19319,Petrol,Automatic,1,2021,1998,5,8.84 Lakh,884000
Hyundai i20 1.2 Asta,69826,Petrol,Manual,1,2018,1086,5,7.55 Lakh,755000
Hyundai i10 Magna,43274,Petrol,Manual,1,2008,1956,6,2.35 Lakh,235000
Hyundai i10 Magna 1.1L,45950,Petrol,Manual,1,2013,1956,5,2.89 Lakh,289000
Chevrolet Cruze LTZ,91649,Diesel,Manual,1,2016,1248,5,8.97 Lakh,897000
Hyundai i10 Magna 1.1L,56936,Petrol,Manual,1,2011,1399,5,2.95 Lakh,295000
MG Hector Plus Smart Diesel MT,9000,Diesel,Manual,1,2021,1120,5,17.95 Lakh,1795000
Jeep Compass 2.0 Limited 4X4,120422,Diesel,Manual,1,2017,998,5,13.52 Lakh,1352000
Tata Bolt Quadrajet XM,133659,Diesel,Manual,2,2016,1497,5,3.15 Lakh,315000
Ford Fiesta 1.4 SXi TDCi ABS,80295,Diesel,Manual,1,2010,936,5,2.25 Lakh,225000
Hyundai Grand i10 CRDi Sportz,55259,Diesel,Manual,1,2016,1497,5,4.83 Lakh,483000
Maruti Celerio X VXI BSIV,54996,Petrol,Manual,2,2019,998,5,3.77 Lakh,377000
Tata Nexon XZ Plus Diesel S,30903,Diesel,Manual,1,2021,1396,5,10.43 Lakh,1043000
Chevrolet Beat Diesel LT,77385,Diesel,Manual,2,2011,1248,5,1.66 Lakh,166000
Honda City ZX MT,38733,Petrol,Manual,1,2019,1798,5,3.90 Lakh,390000
Maruti Wagon R VXI BS IV,51242,Petrol,Manual,1,2013,999,7,2.72 Lakh,272000
Hyundai i20 1.4 Sportz,79385,Diesel,Manual,2,2018,1956,5,6.83 Lakh,683000
Maruti Baleno 1.3 Delta,57304,Diesel,Manual,2,2018,1197,5,6.68 Lakh,668000
Toyota Corolla Altis G,106188,Petrol,Manual,1,2013,1197,5,4.20 Lakh,420000
Renault Triber RXT,57778,Petrol,Manual,1,2020,796,5,5.86 Lakh,586000
Jeep Compass 2.0 Limited Option,64011,Diesel,Manual,1,2017,1461,5,12.50 Lakh,1250000
Hyundai Grand i10 Asta,35315,Petrol,Manual,1,2013,1396,5,3.60 Lakh,360000
Hyundai i20 Active 1.2 S,15000,Petrol,Manual,1,2016,1199,5,4.96 Lakh,496000
Maruti Alto 800 LXI,21461,Petrol,Manual,2,2018,2953,7,2.47 Lakh,247000
Renault Pulse RxZ Optional,90000,Diesel,Manual,2,2015,1197,5,2.80 Lakh,280000
Hyundai Verna 1.4 VTVT,42512,Petrol,Manual,1,2016,796,5,5 Lakh,500000
Honda WR-V i-VTEC VX,53580,Petrol,Manual,1,2017,1086,5,5.75 Lakh,575000
Ford Endeavour 3.0L 4X4 AT,25000,Diesel,Automatic,1,2011,2179,7,7.75 Lakh,775000
Hyundai i20 Sportz,1619,Petrol,Manual,1,2022,1956,5,7.85 Lakh,785000
Maruti Alto 800 LXI,45000,Petrol,Manual,1,2014,1198,5,2.10 Lakh,210000
Hyundai i10 Era,175000,Petrol,Manual,1,2010,2498,6,1.75 Lakh,175000
Mahindra XUV500 W11 BSIV,64000,Diesel,Manual,1,2018,1197,5,11.50 Lakh,1150000
Jeep Compass 2.0 Longitude BSIV,17000,Diesel,Manual,1,2018,1497,5,12.50 Lakh,1250000
Honda Amaze EX i-Vtech,48000,Petrol,Manual,1,2013,1197,5,2.75 Lakh,275000
Mahindra Thar CRDe,86000,Diesel,Manual,1,2018,624,4,7.50 Lakh,750000
Hyundai i10 Sportz,64000,Petrol,Manual,3,2014,1196,5,2.35 Lakh,235000
Honda City EXi,84000,Petrol,Manual,1,2008,1197,5,1 Lakh,100000
Toyota Etios Liva G SP,45000,Petrol,Manual,1,2014,998,5,2.99 Lakh,299000
Tata Nano Lx,39000,Petrol,Manual,1,2010,2523,7,"60,000",60000
Maruti Eeco 5 Seater AC BSIV,25000,Petrol,Manual,1,2019,1368,5,4.15 Lakh,415000
Maruti Swift Dzire 1.2 Lxi BSIV,55000,Petrol,Manual,1,2012,1591,5,3.10 Lakh,310000
Maruti Wagon R VXI BS IV,48000,Petrol,Manual,1,2017,1493,7,3.50 Lakh,350000
Mahindra Scorpio S3 7 Seater,17001,Diesel,Manual,1,2019,1248,7,9.05 Lakh,905000
Jeep Compass 1.4 Limited Plus,18000,Petrol,Automatic,2,2019,1197,5,16.54 Lakh,1654000
Hyundai Verna 1.6 VTVT S Option,42000,Petrol,Manual,1,2015,1997,7,4.95 Lakh,495000
Mahindra Bolero Power Plus SLE,176000,Diesel,Manual,1,2017,1598,5,4.50 Lakh,450000
Maruti Ertiga ZDI,55352,Diesel,Manual,1,2013,1997,7,5.25 Lakh,525000
Maruti Swift Dzire VXI,5000,Petrol,Manual,1,2020,1248,5,6.24 Lakh,624000
Mahindra Scorpio 1.99 S10,56231,Diesel,Manual,1,2017,1956,5,10.99 Lakh,1099000
Skoda Rapid 1.6 MPI Ambition BSIV,7000,Petrol,Manual,1,2019,1493,5,7.50 Lakh,750000
Mahindra XUV500 1.99 FWD W8,80000,Diesel,Manual,2,2014,1197,5,5 Lakh,500000
Maruti Swift Dzire Tour 1.3 S Diesel,120000,Diesel,Manual,1,2018,796,5,4 Lakh,400000
Jeep Compass 2.0 Limited Plus BSIV,22000,Diesel,Manual,1,2019,796,5,14.95 Lakh,1495000
Hyundai Accent VIVA CRDi,83000,Diesel,Manual,2,2005,1461,5,"95,000",95000
Hyundai i20 Asta 1.2,80000,Petrol,Manual,1,2013,1497,5,3 Lakh,300000
Maruti Alto 800 LXI,20000,Petrol,Manual,3,2014,1497,5,1.90 Lakh,190000
Maruti Omni MPI STD BSIV,35000,Petrol,Manual,1,2013,1199,5,1.20 Lakh,120000
Renault Duster 110PS Diesel RxL,60000,Diesel,Manual,1,2015,1197,5,4.65 Lakh,465000
Honda City i VTEC VX,67000,Petrol,Manual,1,2015,1498,5,5.75 Lakh,575000
Honda City V MT,65000,Petrol,Manual,1,2013,1399,5,3.50 Lakh,350000
Honda Jazz V,26000,Petrol,Manual,1,2018,1197,5,5.25 Lakh,525000
Hyundai Xcent 1.2 Kappa S,65000,Petrol,Manual,1,2015,1248,5,3.50 Lakh,350000
Maruti Ciaz Delta 1.5,35000,Diesel,Manual,1,2019,814,5,7 Lakh,700000
Ford Figo Diesel EXI,85000,Diesel,Manual,4,2011,1373,5,1.60 Lakh,160000
Hyundai Grand i10 Sportz,60000,Petrol,Manual,2,2013,1798,5,2.85 Lakh,285000
Tata Manza Aqua Quadrajet BS IV,80000,Diesel,Manual,2,2011,2523,7,1.75 Lakh,175000
Hyundai EON Sportz,60000,Petrol,Manual,1,2015,1956,7,1.95 Lakh,195000
Maruti Ciaz AT ZXi,430000,Petrol,Automatic,1,2015,1498,5,5.50 Lakh,550000
Toyota Corolla Altis GL,50000,Petrol,Manual,1,2011,2179,7,2.95 Lakh,295000
Mahindra Bolero SLX,120000,Diesel,Manual,1,2014,2354,5,4.25 Lakh,425000
Tata New Safari XT,18000,Diesel,Manual,1,2021,1197,5,16.99 Lakh,1699000
Ford Ecosport 1.5 DV5 MT Titanium Optional,42130,Diesel,Manual,1,2014,1364,5,4.49 Lakh,449000
Mahindra XUV500 W10 2WD,64000,Diesel,Manual,1,2017,1086,5,11 Lakh,1100000
Honda Accord 2.4 MT,63000,Petrol,Manual,1,2009,1497,8,3.25 Lakh,325000
Hyundai i20 Active 1.2 S,47000,Petrol,Manual,1,2015,1197,5,4.35 Lakh,435000
Toyota Etios 2014-2016 GD,67000,Diesel,Manual,1,2016,1582,5,5.25 Lakh,525000
Hyundai Santro Xing GL,40000,Petrol,Manual,1,2008,1591,5,1.50 Lakh,150000
Mahindra Marazzo M8 8Str,99000,Diesel,Manual,1,2019,1061,5,8 Lakh,800000
Hyundai i20 Magna,7500,Petrol,Manual,1,2021,1086,5,6.85 Lakh,685000
Hyundai Verna 1.6 SX,50000,Diesel,Manual,1,2012,1086,5,2.95 Lakh,295000
Hyundai Verna 1.6 VTVT S,41000,Petrol,Manual,1,2017,1956,5,6.25 Lakh,625000
Maruti Estilo LXI,50000,Petrol,Manual,1,2009,1591,5,1.25 Lakh,125000
Hyundai Santro Xing GL Plus,15000,Petrol,Manual,1,2012,1198,5,1.75 Lakh,175000
Hyundai Santro Xing GL,40000,Petrol,Manual,3,2008,1199,5,"85,000",85000
Tata Harrier XZ BSIV,20000,Diesel,Manual,2,2019,1598,5,13 Lakh,1300000
Hyundai Verna 1.6 VTVT S,29000,Petrol,Manual,1,2016,1373,5,5 Lakh,500000
Honda Brio S MT,13000,Petrol,Manual,1,2013,1497,5,2.85 Lakh,285000
Honda Amaze S Petrol BSIV,27000,Petrol,Manual,1,2019,1497,7,5.35 Lakh,535000
Volkswagen Vento Petrol Comfortline,50000,Petrol,Manual,1,2013,1248,5,3.25 Lakh,325000
Maruti Ciaz 1.4 Sigma,48000,Petrol,Manual,1,2017,1582,5,5 Lakh,500000
Honda City i VTEC VX,39000,Petrol,Manual,1,2017,1798,7,7.75 Lakh,775000
Honda City i VTEC CVT VX,41000,Petrol,Automatic,1,2017,1248,5,8 Lakh,800000
Maruti Ertiga VDI Limited Edition,74988,Diesel,Manual,1,2012,814,5,4.65 Lakh,465000
Hyundai Verna CRDi 1.6 EX,24494,Diesel,Manual,1,2018,1197,7,7.23 Lakh,723000
Toyota Corolla Altis JS MT,26000,Petrol,Manual,1,2017,1498,5,8 Lakh,800000
Maruti Ertiga VDI,80000,Diesel,Manual,1,2014,1198,5,4.65 Lakh,465000
Hyundai EON D Lite Plus,60000,Petrol,Manual,2,2012,998,7,1.30 Lakh,130000
Maruti Swift VXI,60000,Petrol,Manual,2,2013,999,5,3 Lakh,300000
Maruti Ertiga 1.5 ZDI,44304,Diesel,Manual,1,2015,1497,5,6.45 Lakh,645000
Honda Amaze SX i-VTEC,32000,Petrol,Manual,1,2014,814,5,3.65 Lakh,365000
Maruti S-Presso VXI 2019-2022,24531,Petrol,Manual,1,2020,1197,5,4.30 Lakh,430000
Renault Triber RXT,35000,Petrol,Manual,1,2020,814,5,5.80 Lakh,580000
Honda City i VTEC CVT VX,73000,Petrol,Automatic,1,2015,1193,5,5.25 Lakh,525000
Hyundai EON Sportz,31000,Petrol,Manual,1,2015,1197,5,2.55 Lakh,255000
Maruti Swift VXi BSIV,43000,Petrol,Manual,1,2011,1248,6,2.47 Lakh,247000
Hyundai EON Magna Plus,5000,Petrol,Manual,1,2018,1198,5,3.57 Lakh,357000
Tata Indigo eGLS BS IV,25000,Petrol,Manual,1,2010,1497,5,1.25 Lakh,125000
Hyundai Grand i10 Magna,90000,Petrol,Manual,1,2017,1197,5,4 Lakh,400000
Maruti Ciaz ZDi Plus SHVS,56150,Diesel,Manual,1,2016,1197,5,5.65 Lakh,565000
Mahindra KUV 100 NXT D75 K8 Dual Tone,20000,Diesel,Manual,2,2017,1198,8,3.60 Lakh,360000
Honda City i VTEC VX,60000,Petrol,Manual,2,2015,2494,5,4.90 Lakh,490000
Hyundai Xcent Prime T Plus CNG BSIV,70000,Cng,Manual,1,2017,1199,5,4 Lakh,400000
Maruti Baleno 1.2 Delta,25000,Petrol,Manual,1,2019,796,5,4.50 Lakh,450000
Datsun GO T BSIV,25000,Petrol,Manual,1,2014,1497,5,1.60 Lakh,160000
Toyota Innova 2.5 V Diesel 8-seater,18000,Diesel,Manual,1,2009,1248,7,8.50 Lakh,850000
Tata Punch Adventure,12000,Petrol,Manual,1,2021,2179,5,6.50 Lakh,650000
Maruti Alto 800 VXI,15000,Petrol,Manual,2,2017,1498,5,2.31 Lakh,231000
Honda City S,55000,Petrol,Manual,1,2013,1997,5,3.50 Lakh,350000
Maruti Swift Dzire LDI,70000,Diesel,Manual,2,2013,1198,5,2.30 Lakh,230000
Mahindra Scorpio VLX 2WD 7S BSIV,300000,Diesel,Manual,2,2011,1197,5,3.50 Lakh,350000
Honda City i DTEC V,52314,Diesel,Manual,1,2014,1498,5,4 Lakh,400000
Land Rover Range Rover Velar R-Dynamic S Petrol,19000,Petrol,Automatic,1,2020,998,5,71.50 Lakh,7150000
Nissan Micra XV CVT,16937,Petrol,Automatic,1,2017,1197,5,3.25 Lakh,325000
Maruti Baleno 1.2 CVT Delta,25000,Petrol,Automatic,1,2019,1399,5,4.50 Lakh,450000
Volkswagen Ameo 1.5 TDI Highline AT 16 Alloy,40000,Diesel,Automatic,2,2017,1086,5,4.70 Lakh,470000
Maruti Wagon R Stingray VXI Optional,70000,Petrol,Manual,1,2015,1197,7,2.80 Lakh,280000
Hyundai Xcent 1.2 Kappa S Option,46000,Petrol,Manual,1,2015,1493,5,3.20 Lakh,320000
Ford Figo Diesel Titanium,70000,Diesel,Manual,1,2011,1461,5,1.25 Lakh,125000
Hyundai i10 Era,40000,Petrol,Manual,3,2009,998,7,1.30 Lakh,130000
Hyundai i20 Sportz Plus BSIV,17500,Petrol,Manual,2,2019,2982,7,5.80 Lakh,580000
Mahindra Bolero Power Plus SLX,70000,Diesel,Manual,2,2017,2982,5,4.80 Lakh,480000
Renault Scala Diesel RxZ,67000,Diesel,Manual,4,2013,1248,5,3 Lakh,300000
Maruti Wagon R VXI BS IV,20000,Petrol,Manual,2,2016,995,5,3.50 Lakh,350000
Toyota Fortuner 4x2 AT,120000,Diesel,Automatic,3,2015,998,5,14 Lakh,1400000
Toyota Fortuner 4x2 AT,120000,Diesel,Automatic,4,2015,998,5,13 Lakh,1300000
Tata Zest Quadrajet 1.3 75PS XE,100000,Diesel,Manual,1,2018,1248,7,2.50 Lakh,250000
Chevrolet Spark 1.0 LS,30000,Petrol,Manual,2,2010,1498,5,"80,000",80000
Hyundai EON 1.0 Magna Plus Option O,15000,Petrol,Manual,1,2017,796,6,3 Lakh,300000
Maruti Wagon R VXI BS IV,30000,Petrol,Manual,2,2012,1956,5,1.90 Lakh,190000
Maruti Vitara Brezza VDi,40000,Diesel,Manual,1,2019,1193,5,7 Lakh,700000
Mahindra Bolero B6 Opt,50000,Diesel,Manual,1,2020,1199,5,8.50 Lakh,850000
Maruti Alto LX,70000,Petrol,Manual,2,2002,1193,5,"80,000",80000
Tata New Safari XZ Plus Gold 6 Str,5000,Diesel,Manual,1,2022,1591,5,22 Lakh,2200000
Tata Zest Revotron 1.2 XT,15000,Petrol,Manual,1,2015,1582,5,4.50 Lakh,450000
Honda WR-V i-VTEC VX,60000,Petrol,Manual,1,2019,1197,5,8.50 Lakh,850000
Tata Bolt Revotron XT,50000,Petrol,Manual,1,2015,1461,5,3 Lakh,300000
Hyundai Verna 1.6 SX VTVT,46000,Petrol,Manual,1,2014,814,5,4.61 Lakh,461000
Hyundai Verna 1.6 CRDi EX MT,55000,Diesel,Manual,1,2014,1396,5,4.31 Lakh,431000
Hyundai Xcent 1.2 Kappa SX,50000,Petrol,Manual,2,2014,1198,5,3.50 Lakh,350000
Renault Scala Diesel RxZ,6400,Diesel,Manual,2,2013,1197,7,2.50 Lakh,250000
Hyundai EON D Lite Plus,40000,Petrol,Manual,2,2015,1997,5,1.60 Lakh,160000
Tata Indigo CR4,20000,Diesel,Manual,2,2011,998,5,1.65 Lakh,165000
Honda Amaze VX i-VTEC,60000,Petrol,Manual,1,2017,1197,5,3.80 Lakh,380000
Maruti Wagon R ZXI AMT 1.2,40000,Petrol,Automatic,1,2020,1582,5,5.25 Lakh,525000
Mahindra Scorpio 1.99 S10,130000,Diesel,Manual,1,2015,1461,5,7.50 Lakh,750000
Maruti Wagon R VXI Plus,30000,Petrol,Manual,2,2017,1498,5,3.15 Lakh,315000
Hyundai Venue S,15000,Petrol,Manual,1,2021,1497,5,7.41 Lakh,741000
Hyundai Verna CRDi 1.6 SX,40000,Diesel,Manual,1,2019,1197,5,8.60 Lakh,860000
Renault Duster 85PS Diesel RxS,50000,Diesel,Manual,1,2017,1197,5,6.75 Lakh,675000
Honda Amaze EX i-Dtech,120000,Diesel,Manual,2,2013,1396,5,2.65 Lakh,265000
Kia Seltos HTX G,10000,Petrol,Manual,1,2020,1199,7,12 Lakh,1200000
Hyundai i10 Magna,75000,Petrol,Manual,3,2009,999,5,1.35 Lakh,135000
Hyundai i10 Magna 1.2 iTech SE,50000,Petrol,Manual,4,2008,1199,5,"95,000",95000
Tata Indigo LS TDI BSIII,120000,Diesel,Manual,3,2010,1461,5,1.10 Lakh,110000
Tata Tiago 1.2 Revotron XB,50000,Petrol,Manual,1,2018,1197,7,3.10 Lakh,310000
Renault Triber RXE,5000,Petrol,Manual,1,2020,2494,5,5.50 Lakh,550000
Volkswagen Polo Diesel Comfortline 1.2L,80000,Diesel,Manual,4,2010,1396,5,1.80 Lakh,180000
Renault Duster 85PS Diesel RxL,40000,Diesel,Manual,2,2015,1197,7,4.05 Lakh,405000
Maruti Swift Dzire VXI,30000,Petrol,Manual,1,2020,2179,5,6.10 Lakh,610000
Toyota Innova 2.5 EV Diesel MS 7 Str BSIII,120000,Diesel,Manual,3,2005,796,5,1.80 Lakh,180000
Tata Indigo LS (TDI) BS III,40000,Diesel,Manual,1,2008,1197,5,"89,000",89000
Hyundai i10 Magna 1.2 iTech SE,70000,Petrol,Manual,2,2008,1248,5,1.20 Lakh,120000
Mahindra XUV500 W6 2WD,120000,Diesel,Manual,1,2014,1197,5,7.38 Lakh,738000
Maruti Alto 800 VXI,5000,Petrol,Manual,1,2022,1197,5,4.28 Lakh,428000
Maruti Baleno Delta,35000,Petrol,Manual,1,2019,998,5,5.25 Lakh,525000
Maruti Vitara Brezza VDi Option,40000,Diesel,Manual,1,2017,1248,5,6 Lakh,600000
Hyundai i20 Asta Option 1.2,20000,Petrol,Manual,1,2017,1498,5,5.20 Lakh,520000
Maruti Baleno 1.2 Sigma,80000,Petrol,Manual,1,2017,814,5,4.20 Lakh,420000
Maruti Wagon R LXI BS IV,15000,Petrol,Manual,1,2013,796,5,3.70 Lakh,370000
Maruti Vitara Brezza VDi,70000,Diesel,Manual,2,2017,1197,5,5.45 Lakh,545000
Honda Amaze S i-DTEC,120000,Diesel,Manual,1,2016,1399,5,4 Lakh,400000
Hyundai EON D Lite Plus,25000,Petrol,Manual,2,2018,1498,5,2.30 Lakh,230000
Maruti Alto 800 LXI,25000,Petrol,Manual,1,2015,1248,5,2.50 Lakh,250000
Hyundai i20 1.2 Sportz Option,60000,Petrol,Manual,2,2011,1197,5,2.30 Lakh,230000
Chevrolet Aveo 1.4 LS BSIV,80000,Petrol,Manual,1,2007,998,5,1.65 Lakh,165000
Ford Ecosport 1.5 DV5 MT Titanium,80000,Diesel,Manual,3,2013,993,5,3 Lakh,300000
Maruti Swift Dzire VDi,90000,Diesel,Manual,2,2012,1197,5,2.70 Lakh,270000
Hyundai Xcent 1.2 Kappa S,37000,Petrol,Manual,1,2016,796,5,3.30 Lakh,330000
Maruti Alto K10 LXI,50000,Petrol,Manual,1,2015,1498,5,3 Lakh,300000
Maruti Zen LXi - BS III,50000,Petrol,Manual,1,2004,1186,5,"75,000",75000
Maruti Baleno 1.2 Delta,19493,Petrol,Manual,1,2017,796,5,5.49 Lakh,549000
Maruti Alto LXi BSIII,35000,Petrol,Manual,2,2007,993,5,1.05 Lakh,105000
Honda Amaze S i-Dtech,60000,Diesel,Manual,2,2014,1396,5,2.80 Lakh,280000
Hyundai Xcent 1.2 CRDi SX,50000,Diesel,Manual,1,2018,1498,5,4.50 Lakh,450000
Maruti Alto LXi BSIII,80000,Petrol,Manual,2,2005,1197,5,"75,000",75000
Maruti Zen LX BSII,78527,Petrol,Manual,1,2004,1197,5,"90,000",90000
Hyundai Creta 1.4 CRDi S,94000,Diesel,Manual,1,2016,1798,5,7 Lakh,700000
Honda City VX MT Diesel,5000,Diesel,Manual,1,2022,999,5,9 Lakh,900000
Hyundai Grand i10 Sportz,40000,Petrol,Manual,1,2016,1197,5,3 Lakh,300000
